Movie Name,Release Date,Genre,Runtime,Story,IMDb Rating,Vote Count,Director,Actors,Movie URL
Jai Bhim,2021-11-02,"Crime, Drama",2h 44m,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",8.6,235531,T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K.",https://www.imdb.com/title/tt15097216/
Laapataa Ladies,2024-03-01,"Comedy, Drama",2h 2m,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming moments.",8.3,61548,Kiran Rao,"Nitanshi Goel, Pratibha Ranta, Sparsh Shrivastava",https://www.imdb.com/title/tt21626284/
Maharaja,2024-06-13,"Action, Crime, Drama",2h 21m,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",8.3,84212,"R. Nandhakumar, Nithilan Saminathan, T. Suresh","Vijay Sethupathi, Anurag Kashyap, Mamta Mohandas",https://www.imdb.com/title/tt26548265/
Vada Chennai,2018-10-17,"Action, Crime, Drama",2h 44m,A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.,8.4,24669,Vetrimaaran,"Dhanush, Ameer Sultan, Radha Ravi",https://www.imdb.com/title/tt5959980/
Thani Oruvan,2015-08-28,"Action, Crime, Drama",2h 40m,"Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him.",8.4,24316,Mohan Raja,"Ravi Mohan, Arvind Swamy, Nayanthara",https://www.imdb.com/title/tt4987556/
Sarpatta parambarai,2021-07-22,"Action, Drama, Sport",2h 53m,"When Sarpatta Parambarai is challenged to a do-or-die match, will Kabilan, a young labourer, put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mother and dangerous politics?",8.4,28860,Pa. Ranjith,"Arya, Pasupathy, John Kokken",https://www.imdb.com/title/tt11580854/
Jaane Bhi Do Yaaro,1983-08-12,"Comedy, Crime, Drama",2h 12m,"Two photographers, who are employed by a magazine editor to expose the scandalous activities of the rich, come across corruption by a builder and accidentally photograph a murder.",8.3,17954,Kundan Shah,"Naseeruddin Shah, Ravi Baswani, Bhakti Barve",https://www.imdb.com/title/tt0085743/
Khosla Ka Ghosla!,2006-09-22,"Comedy, Crime, Drama",2h 15m,A Delhi-based retired middle-class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.,8.2,27378,"Dibakar Banerjee, Pravin E. Birje","Anupam Kher, Boman Irani, Parvin Dabas",https://www.imdb.com/title/tt0466460/
Aparajito,1956-10-11,Drama,1h 50m,"Following his father's death, a boy leaves home to study in Calcutta, while his mother must face a life alone.",8.2,20074,Satyajit Ray,"Pinaki Sengupta, Smaran Ghosal, Kamala Adhikari",https://www.imdb.com/title/tt0048956/
Devasuram,1993-04-14,"Action, Crime, Drama",2h 37m,"Neelakandan squanders away the inheritance left by his father. However, his life turns upside down when his mother reveals a terrible secret on her deathbed that changes the course of his life.",8.7,7243,I.V. Sasi,"Mohanlal, Napolean, Revathi",https://www.imdb.com/title/tt0291855/
